fdc_id,description,Energy,gram_weight,Biotin,"Boron, B","Calcium, Ca","Carbohydrate, Total",Cholesterol,"Choline, total","Cobalt, Co","Copper, Cu","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fiber, insoluble","Fiber, soluble","Fiber, total dietary","Folate, total","Iodine, I","Iron, Fe","Magnesium, Mg","Manganese, Mn","Molybdenum, Mo",Niacin,"Nickel, Ni",Pantothenic acid,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Starch,"Sugars, Total","Sulfur, S",Thiamin,Total lipid (fat),"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),Vitamin E,Vitamin K (Dihydrophylloquinone),Vitamin K (Menaquinone-4),Vitamin K (phylloquinone),"Zinc, Zn"
2512375,"Flour, rye",359.4,100.0,8.975,0.0,32.24,77.1618,0.0,0.0,0.0,0.3384,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,2.536,95.39,2.129,75.46,1.163,0.0,0.0,280.3,434.0,8.3952,0.17,16.6,0.0,54.11,0.0,0.0,0.2163,1.908,0.0,0.0,0.1638,0.0,0.0,0.0,0.0,0.0,0.0,2.328
2512376,"Flour, barley",366.53,100.0,8.614,0.0,35.56,77.39832,0.0,0.0,0.0,0.3936,0.0,0.0,0.0,0.0,0.0,0.0,16.15,0.0,0.0,3.301,88.04,1.181,57.36,5.941,0.0,0.0,234.4,366.6,8.72168,0.1463,13.1,20.33,56.86,0.0,0.0,0.225,2.45,0.0,0.0,0.1995,0.0,0.0,0.0,0.0,0.0,0.0,2.144
2512377,"Flour, cassava",357.369,100.0,0.5188,0.0,74.55,87.312975,0.0,0.0,0.0,0.07663,0.0,0.0,0.0,0.0,0.0,0.0,7.655,0.0,0.0,3.988,33.56,0.3954,2.534,0.6,0.0,0.0,39.24,197.6,0.918225,0.0675,0.0,13.08,79.72,0.0,0.0,0.05125,0.4938,0.0,0.0,0.04988,0.0,0.0,0.0,0.0,0.0,0.0,0.4099
2512378,"Buckwheat, whole grain",356.135,100.0,18.65,0.0,13.64,71.13066,0.0,0.0,0.0,0.4764,0.0,0.0,0.0,0.0,0.0,0.0,4.805,0.0,0.0,2.444,203.0,1.23,55.25,5.366,0.0,0.0,373.7,414.5,11.06534,0.1775,13.6,0.0,61.61,0.0,0.0,0.5388,3.039,0.0,0.0,0.2776,0.0,0.0,0.0,0.0,0.0,0.0,2.236
2512379,"Millet, whole grain",375.618,100.0,11.43,0.0,9.105,74.44623,0.0,0.0,0.0,0.4883,0.0,0.0,0.0,0.0,0.0,0.0,3.326,0.0,0.0,2.534,105.5,0.9239,29.54,4.86,0.0,0.0,257.9,214.1,10.02177,0.1363,23.1,0.0,67.06,0.0,0.0,0.4113,4.194,0.0,0.0,0.1918,0.0,0.0,0.0,0.0,0.0,0.0,2.258
2512380,"Rice, brown, long grain, unenriched, raw",365.518,100.0,4.988,0.0,8.058,76.68795,0.0,0.0,0.0,0.2659,0.0,0.0,0.0,0.0,0.0,0.0,4.296,0.0,0.0,1.242,115.0,2.696,63.94,6.271,0.0,0.0,302.8,250.1,7.25305,0.1025,14.8,0.0,71.6,0.0,0.0,0.3263,3.306,0.0,0.0,0.1606,0.0,0.0,0.0,0.0,0.0,0.0,1.854
2512381,"Rice, white, long grain, unenriched, raw",358.705,100.0,0.0,0.0,4.46,80.31315,0.0,0.0,0.0,0.2138,0.0,0.0,0.0,0.0,0.0,0.0,2.771,0.0,0.0,0.1405,26.53,0.9811,64.18,1.434,0.0,0.0,108.2,82.26,7.03885,0.08,6.6,0.4625,74.36,0.0,0.0,0.065,1.033,0.0,0.0,0.05788,0.0,0.0,0.0,0.0,0.0,0.0,1.354
2514743,"Beef, ground, 90% lean meat / 10% fat, raw",184.8648,100.0,0.0,0.0,7.135,0.0,65.9,0.0,0.0,0.05616,4.477,0.361,5.051,0.484,0.0,0.0,0.0,0.0,0.0,2.128,16.49,0.0,0.0,0.0,0.0,0.0,148.0,281.4,18.15625,0.0,0.0,61.64,0.0,0.0,0.0,0.0,12.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.194
2514744,"Beef, ground, 80% lean meat / 20% fat, raw",242.61,100.0,0.0,0.0,6.889,0.0,67.74,0.0,0.0,0.0551,7.247,0.485,6.845,0.7,0.0,0.0,0.0,0.0,0.0,1.965,16.41,0.0,0.0,0.0,0.0,0.0,144.4,273.3,17.53125,0.0,0.0,54.94,0.0,0.0,0.0,0.0,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.848
2514745,"Pork, ground, raw",228.2728,100.0,0.0,0.0,5.857,0.0,71.16,0.0,0.0,0.0666,7.777,2.553,6.283,0.066,0.0,0.0,0.0,0.0,0.0,0.7876,19.03,0.0,0.0,0.0,0.0,0.0,173.3,317.7,17.80625,0.0,0.0,53.63,0.0,0.0,0.0,0.0,17.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.226
